,Instrument,Organization Name,TSE33 Subsector name
0,2802.T,Ajinomoto Co Inc,Foods
1,9202.T,ANA Holdings Inc,Air Transportation
2,6770.T,Alps Alpine Co Ltd,Electric Appliances
3,6113.T,Amada Co Ltd,Machinery
4,2502.T,Asahi Group Holdings Ltd,Foods
5,3407.T,Asahi Kasei Corp,Chemicals
6,5201.T,AGC Inc,Glass & Ceramics Products
7,5108.T,Bridgestone Corp,Rubber Products
8,7751.T,Canon Inc,Electric Appliances
9,6952.T,Casio Computer Co Ltd,Electric Appliances
10,9022.T,Central Japan Railway Co,Land Transportation
11,8331.T,Chiba Bank Ltd,Banks
12,9502.T,Chubu Electric Power Co Inc,Electric Power & Gas
13,4519.T,Chugai Pharmaceutical Co Ltd,Pharmaceutical
14,7762.T,Citizen Watch Co Ltd,Precision Instruments
15,9433.T,KDDI Corp,Information & Communication
16,6367.T,Daikin Industries Ltd,Machinery
17,4631.T,DIC Corp,Chemicals
18,4506.T,Sumitomo Dainippon Pharma Co Ltd,Pharmaceutical
19,7912.T,Dai Nippon Printing Co Ltd,Other Products
20,7735.T,Screen Holdings Co Ltd,Electric Appliances
21,1925.T,Daiwa House Industry Co Ltd,Construction
22,8601.T,Daiwa Securities Group Inc,Securities & Commodity Futures
23,5714.T,DOWA Holdings Co Ltd,Nonferrous Metals
24,9020.T,East Japan Railway Co,Land Transportation
25,6361.T,Ebara Corp,Machinery
26,4523.T,Eisai Co Ltd,Pharmaceutical
27,4061.T,Denka Co Ltd,Chemicals
28,9983.T,Fast Retailing Co Ltd,Retail Trade
29,6504.T,Fuji Electric Co Ltd,Electric Appliances
30,7270.T,Subaru Corp,Transportation Equipment
31,4901.T,Fujifilm Holdings Corp,Chemicals
32,5803.T,Fujikura Ltd,Nonferrous Metals
33,6954.T,Fanuc Corp,Electric Appliances
34,6702.T,Fujitsu Ltd,Electric Appliances
35,5801.T,Furukawa Electric Co Ltd,Nonferrous Metals
36,1808.T,Haseko Corp,Construction
37,7205.T,Hino Motors Ltd,Transportation Equipment
38,6501.T,Hitachi Ltd,Electric Appliances
39,7004.T,Hitachi Zosen Corp,Machinery
40,6305.T,Hitachi Construction Machinery Co Ltd,Machinery
41,7267.T,Honda Motor Co Ltd,Transportation Equipment
42,7013.T,IHI Corp,Machinery
43,7202.T,Isuzu Motors Ltd,Transportation Equipment
44,8001.T,Itochu Corp,Wholesale Trade
45,5631.T,Japan Steel Works Ltd,Machinery
46,1963.T,JGC Holdings Corp,Construction
47,2914.T,Japan Tobacco Inc,Foods
48,8267.T,Aeon Co Ltd,Retail Trade
49,1812.T,Kajima Corp,Construction
50,9503.T,Kansai Electric Power Co Inc,Electric Power & Gas
51,4452.T,Kao Corp,Chemicals
52,7012.T,Kawasaki Heavy Industries Ltd,Transportation Equipment
53,9107.T,Kawasaki Kisen Kaisha Ltd,Marine Transportation
54,9008.T,Keio Corp,Land Transportation
55,9009.T,Keisei Electric Railway Co Ltd,Land Transportation
56,2801.T,Kikkoman Corp,Foods
57,6861.T,Keyence Corp,Electric Appliances
58,2503.T,Kirin Holdings Co Ltd,Foods
