TSI,QUICK_PR,QUICK_TR,BBG_TR,BBG_PR,REFINITIV_PR,REFINITIV_TR
"Fishery, Agriculture & Forestry",321,S321/TSX,TPFISH <INDEX>,TPXDFISH <INDEX>,.IFISH.T,.IFISHDV.T
Foods,322,S322/TSX,TPFOOD <INDEX>,TPXDFOOD <INDEX>,.IFOOD.T,.IFOODDV.T
Mining,323,S323/TSX,TPMINN <INDEX>,TPXDMINN <INDEX>,.IMING.T,.IMINGDV.T
Oil and Coal Products,324,S324/TSX,TPOIL <INDEX>,TPXDOIL <INDEX>,.IPETE.T,.IPETEDV.T
Construction,325,S325/TSX,TPCONT <INDEX>,TPXDCONT <INDEX>,.ICNST.T,.ICNSTDV.T
Metal Products,326,S326/TSX,TPMETL <INDEX>,TPXDMETL <INDEX>,.IMETL.T,.IMETLDV.T
Glass and Ceramics Products,327,S327/TSX,TPGLAS <INDEX>,TPXDGLAS <INDEX>,.IGLSS.T,.IGLSSDV.T
Textiles and Apparels,328,S328/TSX,TPTEXT <INDEX>,TPXDTEXT <INDEX>,.ITXTL.T,.ITXTLDV.T
Pulp and Paper,329,S329/TSX,TPPAPR <INDEX>,TPXDPAPR <INDEX>,.IPAPR.T,.IPAPRDV.T
Chemicals,330,S330/TSX,TPNCHM <INDEX>,TPXDNCHM <INDEX>,.ICHEM.T,.ICHEMDV.T
Pharmaceutical,331,S331/TSX,TPPHRM <INDEX>,TPXDPHRM <INDEX>,.IPHAM.T,.IPHAMDV.T
Rubber Products,332,S332/TSX,TPRUBB <INDEX>,TPXDRUBB <INDEX>,.IRUBR.T,.IRUBRDV.T
Transportation Equipment,333,S333/TSX,TPTRAN <INDEX>,TPXDTRAN <INDEX>,.ITEQP.T,.ITEQPDV.T
Iron and Steel,334,S334/TSX,TPIRON <INDEX>,TPXDIRON <INDEX>,.ISTEL.T,.ISTELDV.T
Nonferrous Metals,335,S335/TSX,TPNMET <INDEX>,TPXDNMET <INDEX>,.INFRO.T,.INFRODV.T
Machinery,336,S336/TSX,TPMACH <INDEX>,TPXDMACH <INDEX>,.IMCHN.T,.IMCHNDV.T
Electric Appliances,337,S337/TSX,TPELMH <INDEX>,TPXDELMH <INDEX>,.IELEC.T,.IELECDV.T
Precision Instruments,338,S338/TSX,TPPREC <INDEX>,TPXDPREC <INDEX>,.IPRCS.T,.IPRCSDV.T
Other Products,339,S339/TSX,TPPROD <INDEX>,TPXDPROD <INDEX>,.IMISC.T,.IMISCDV.T
Information & Communication,340,S340/TSX,TPCOMM <INDEX>,TPXDCOMM <INDEX>,.ICOMS.T,.ICOMSDV.T
Services,341,S341/TSX,TPSERV <INDEX>,TPXDSERV <INDEX>,.ISVCS.T,.ISVCSDV.T
Electric Power and Gas,342,S342/TSX,TPELEC <INDEX>,TPXDELEC <INDEX>,.IEPNG.T,.IEPNGDV.T
Land Transportation,343,S343/TSX,TPLAND <INDEX>,TPXDLAND <INDEX>,.IRAIL.T,.IRAILDV.T
Marine Transportation,344,S344/TSX,TPMART <INDEX>,TPXDMART <INDEX>,.ISHIP.T,.ISHIPDV.T
Air Transportation,345,S345/TSX,TPAIR <INDEX>,TPXDAIR <INDEX>,.IAIRL.T,.IAIRLDV.T
Warehousing and Harbor Transportation Service,346,S346/TSX,TPWARE <INDEX>,TPXDWARE <INDEX>,.IWHSE.T,.IWHSEDV.T
Wholesale Trade,347,S347/TSX,TPWSAL <INDEX>,TPXDWSAL <INDEX>,.IWHOL.T,.IWHOLDV.T
Retail Trade,348,S348/TSX,TPRETL <INDEX>,TPXDRETL <INDEX>,.IRETL.T,.IRETLDV.T
Banks,349,S349/TSX,TPNBNK <INDEX>,TPXDBNK <INDEX>, IBNKS.T, IBNKSDV.T
Securities and Commodities Futures,350,S350/TSX,TPSECR <INDEX>,TPXDSECR <INDEX>,.ISECU.T,.ISECUDV.T
Insurance,351,S351/TSX,TPINSU <INDEX>,TPXDINSU <INDEX>,.IINSU.T,.IINSUDV.T
Other Financing Business,352,S352/TSX,TPFINC <INDEX>,TPXDFINC <INDEX>,.IFINS.T,.IFINSDV.T
Real Estate,353,S353/TSX,TPREAL <INDEX>,TPXDREAL <INDEX>,.IRLTY.T,.IRLTYDV.T
