All Three, abod, 6758.T, 0.9926637961769464, 0.8384879725085911, 0.3333333333333333, 0.4770283479960899
All Three, abod, 6758.T, 0.9926912212379673, 0.6280566280566281, 0.6666666666666666, 0.6467859509609013
All Three, cluster, 6758.T, 0.9928557716040918, 0.8808664259927798, 0.3333333333333333, 0.48364717542120905
All Three, cluster, 6758.T, 0.9914296684310122, 0.5615650172612198, 0.6666666666666666, 0.6096189881324172
All Three, histogram, 6758.T, 0.9869456709541179, 0.3446327683615819, 0.3333333333333333, 0.3388888888888889
All Three, histogram, 6758.T, 0.9746866686778378, 0.23349282296650717, 0.6666666666666666, 0.34585400425230334
All Three, knn, 6758.T, 0.9930477470312371, 0.9277566539923955, 0.3333333333333333, 0.49045226130653263
All Three, knn, 6758.T, 0.9939253489839015, 0.710334788937409, 0.6666666666666666, 0.6878083157152923
All Three, iforest, 6758.T, 0.991745056632751, 0.6815642458100558, 0.3333333333333333, 0.4477064220183486
All Three, iforest, 6758.T, 0.9921152949565313, 0.5958485958485958, 0.6666666666666666, 0.6292714377820761
All Three, lof, 6758.T, 0.9931711598058306, 0.9606299212598425, 0.3333333333333333, 0.49492900608519264
All Three, lof, 6758.T, 0.9942407371856402, 0.7349397590361446, 0.6666666666666666, 0.6991404011461317
All Three, pca, 6758.T, 0.9924581082192908, 0.7973856209150327, 0.3333333333333333, 0.4701348747591523
All Three, pca, 6758.T, 0.9917724816937717, 0.5781990521327014, 0.6666666666666666, 0.6192893401015229
All Three, svm, 6758.T, 0.9927597838905191, 0.8591549295774648, 0.3333333333333333, 0.48031496062992124
All Three, svm, 6758.T, 0.988138661108521, 0.4400360685302074, 0.6666666666666666, 0.530146659424226
All Three, abod, 6758.T, 0.979595754600554, 0.32972972972972975, 1.0, 0.49593495934959353
All Three, cluster, 6758.T, 0.9828181992704934, 0.3687657430730479, 1.0, 0.5388295914611705
All Three, histogram, 6758.T, 0.9491539368675095, 0.16486486486486487, 1.0, 0.28306264501160094
All Three, knn, 6758.T, 0.9882072237610728, 0.45979899497487436, 1.0, 0.6299483648881239
All Three, iforest, 6758.T, 0.986479444916765, 0.42607683352735737, 1.0, 0.5975510204081632
All Three, lof, 6758.T, 0.987782135315251, 0.4510166358595194, 1.0, 0.621656050955414
All Three, pca, 6758.T, 0.9836409511011162, 0.38025974025974024, 1.0, 0.5509973654497553
All Three, svm, 6758.T, 0.9485505855250528, 0.1632471008028546, 1.0, 0.28067484662576686
All Three, arima, 6758.T, 0.9932260099278721, 0.976, 0.3333333333333333, 0.4969450101832994
All Three, arima, 6758.T, 0.9952828895044291, 0.8299319727891157, 0.6666666666666666, 0.7393939393939394
All Three, arima, 6758.T, 0.8504237171927708, 0.06288659793814433, 1.0, 0.11833171677982542
All Three, iforest, 6758.T, 0.986479444916765, 0.42607683352735737, 1.0, 0.5975510204081632
All Three, lof, 6758.T, 0.987782135315251, 0.4510166358595194, 1.0, 0.621656050955414
All Three, pca, 6758.T, 0.9836409511011162, 0.38025974025974024, 1.0, 0.5509973654497553
All Three, svm, 6758.T, 0.9485505855250528, 0.1632471008028546, 1.0, 0.28067484662576686
All Three, AE, 6758.T, 0.9796917423141267, 0.33077270673294173, 1.0, 0.49711375212224107
All Three, DeepSVDD, 6758.T, 0.9794997668869814, 0.3286933093848226, 1.0, 0.4947617438323758
All Three, AE, 6758.T, 0.9916490689191784, 0.5720984759671747, 0.6666666666666666, 0.6157728706624606
All Three, DeepSVDD, 6758.T, 0.991635356388668, 0.5714285714285714, 0.6666666666666666, 0.6153846153846153
